,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],name
290,858.3441470959298,12646.50236893011,182022.92629320553,43649.10120994042,230.1550680773571,110.17298221342058,0.7800000003887767,2,0.5279093561564536,0.033359764645561486,27049.522311420413,38630.66770073637,0.9300000000000002,False,1.1899849236821555e-05,0.027055498030852086,0.0,op_mission:main_route:climb
291,863.3441470959298,12677.63337057946,183173.28047552446,43646.80271433263,230.1550680773571,109.90289460160521,0.7800000003887767,2,0.5304792951623571,0.033497679837464614,27028.341693416354,38441.494718812646,0.9299999999999999,False,1.187568548804093e-05,0.026664443802141263,0.0,op_mission:main_route:climb
292,868.3441470959298,12708.314518992436,184323.64674379487,43644.52011882778,230.1550680773571,109.63735768611954,0.7800000003887767,2,0.533024125479136,0.033635625503303374,27008.66016435063,38255.961760614206,0.9299999999999999,False,1.1851860897397035e-05,0.026278340920547493,0.0,op_mission:main_route:climb
293,873.3441470959298,12738.551505398476,185474.02477239913,43642.253097141365,230.1550680773571,109.3762925788054,0.7800000003887767,2,0.5355438432476298,0.03377356315280161,26990.422935110488,38073.99082933889,0.9300000000000002,False,1.18283714918724e-05,0.02589713655303154,0.0,op_mission:main_route:climb
294,878.3441470959298,12768.34996048937,186624.41424388977,43640.00133060283,230.1550680773571,109.11962192487066,0.7800000003887767,2,0.5380384515863538,0.033911517884215654,26973.62688902772,37895.50590396196,0.9300000000000002,False,1.180521333092073e-05,0.025520661705163154,0.0,op_mission:main_route:climb
295,883.3441470959298,12797.715320777508,187774.81485222475,43637.76450794543,230.1550680773571,108.86727101882799,0.7800000003887767,2,0.5405079490028601,0.034049477359191095,26958.23995668067,37720.433677967325,0.9300000000000002,False,1.1782382610806722e-05,0.025148821321511743,0.0,op_mission:main_route:climb
296,884.0153638140415,12801.599999999999,187929.2499315499,43637.46619468156,230.1550680773571,108.83393180646715,0.7800000003887767,2,0.5408354512114426,0.034067877523113896,26956.290425152096,37697.33441260218,0.9300000000000002,False,1.1779361705644982e-05,0.02509957074374508,0.0,op_mission:main_route:climb
297,884.0153638140415,12801.599999999999,187929.2499315499,43637.46619468156,230.1550680773571,108.83393180646715,0.7800000003887767,3,0.5408354512114426,0.034067877523113896,26956.290425152096,26956.290425152096,0.6962810190228274,True,1.1264611185503086e-05,0.0,0.0,op_mission:main_route:climb
298,944.0153638140415,12801.599999999999,201738.5540161913,43619.24706684299,230.1550680773571,108.83393180646715,0.7800000003887767,3,0.5406096463908489,0.03405518844668654,26946.250162762088,26946.250162762088,0.6960216790313852,True,1.1264405959531415e-05,0.0,0.0,op_mission:main_route:cruise
299,1004.0153638140415,12801.599999999999,215547.85810083273,43601.03505678776,230.1550680773571,108.83393180646715,0.7800000003887767,3,0.5403839297868704,0.03404251591189134,26936.2229889785,26936.2229889785,0.6957626771186651,True,1.1264201810749096e-05,0.0,0.0,op_mission:main_route:cruise
