mission:operational:landing:slat_angle	data:mission:operational:landing:slat_angle
mission:operational:landing:thrust_rate	data:mission:operational:landing:thrust_rate
mission:operational:takeoff:altitude	data:mission:operational:takeoff:altitude
mission:operational:takeoff:delta_ISA	data:mission:operational:takeoff:delta_ISA
mission:operational:takeoff:duration	data:mission:operational:takeoff:duration
mission:operational:takeoff:flap_angle	data:mission:operational:takeoff:flap_angle
mission:operational:takeoff:friction_coefficient_no_brake	data:mission:operational:takeoff:friction_coefficient_no_brake
mission:operational:takeoff:fuel	data:mission:operational:takeoff:fuel
mission:operational:takeoff:slat_angle	data:mission:operational:takeoff:slat_angle
mission:operational:takeoff:TOFL	data:mission:operational:takeoff:TOFL
mission:operational:takeoff:V2	data:mission:operational:takeoff:V2
mission:operational:takeoff:VLOF	data:mission:operational:takeoff:VLOF
mission:operational:takeoff:VMCA	data:mission:operational:takeoff:VMCA
mission:operational:takeoff:VR	data:mission:operational:takeoff:VR
mission:operational:taxi_in:duration	data:mission:operational:taxi_in:duration
mission:operational:taxi_in:fuel	data:mission:operational:taxi_in:fuel
mission:operational:taxi_in:speed	data:mission:operational:taxi_in:speed
mission:operational:taxi_in:thrust_rate	data:mission:operational:taxi_in:thrust_rate
mission:operational:taxi_out:duration	data:mission:operational:taxi_out:duration
mission:operational:taxi_out:fuel	data:mission:operational:taxi_out:fuel
mission:operational:taxi_out:speed	data:mission:operational:taxi_out:speed
mission:operational:taxi_out:thrust_rate	data:mission:operational:taxi_out:thrust_rate
mission:sizing:alternate_climb:duration	data:mission:sizing:alternate_climb:duration
mission:sizing:alternate_climb:fuel	data:mission:sizing:alternate_climb:fuel
mission:sizing:alternate_cruise:distance	data:mission:sizing:alternate_cruise:distance
mission:sizing:alternate_cruise:duration	data:mission:sizing:alternate_cruise:duration
mission:sizing:alternate_cruise:fuel	data:mission:sizing:alternate_cruise:fuel
mission:sizing:alternate_descent:duration	data:mission:sizing:alternate_descent:duration
mission:sizing:alternate_descent:fuel	data:mission:sizing:alternate_descent:fuel
mission:sizing:block_fuel	data:mission:sizing:block_fuel
mission:sizing:block_time	data:mission:sizing:block_time
mission:sizing:climb:distance	data:mission:sizing:climb:distance
mission:sizing:climb:duration	data:mission:sizing:climb:duration
mission:sizing:climb:fuel	data:mission:sizing:climb:fuel
mission:sizing:climb:max_climb_rate	data:mission:sizing:climb:max_climb_rate
mission:sizing:climb:thrust_rate	data:mission:sizing:climb:thrust_rate
mission:sizing:cruise:altitude	data:mission:sizing:cruise:altitude
mission:sizing:cruise:distance	data:mission:sizing:cruise:distance
mission:sizing:cruise:duration	data:mission:sizing:cruise:duration
mission:sizing:cruise:fuel	data:mission:sizing:cruise:fuel
mission:sizing:cruise:mass_ratio	data:mission:sizing:cruise:mass_ratio
mission:sizing:cs25:sizing_load_1	data:mission:sizing:cs25:sizing_load_1
mission:sizing:cs25:sizing_load_2	data:mission:sizing:cs25:sizing_load_2
mission:sizing:descent:distance	data:mission:sizing:descent:distance
mission:sizing:descent:duration	data:mission:sizing:descent:duration
mission:sizing:descent:fuel	data:mission:sizing:descent:fuel
mission:sizing:descent:thrust_rate	data:mission:sizing:descent:thrust_rate
mission:sizing:flight:duration	data:mission:sizing:flight:duration
mission:sizing:flight:fuel	data:mission:sizing:flight:fuel
mission:sizing:fuel	data:mission:sizing:fuel
mission:sizing:fuel_reserve	data:mission:sizing:fuel_reserve
mission:sizing:holding:altitude	data:mission:sizing:holding:altitude
mission:sizing:holding:CAS	data:mission:sizing:holding:CAS
mission:sizing:holding:duration	data:mission:sizing:holding:duration
mission:sizing:holding:fuel	data:mission:sizing:holding:fuel
mission:sizing:initial_climb:fuel	data:mission:sizing:initial_climb:fuel
mission:sizing:landing:duration	data:mission:sizing:landing:duration
mission:sizing:landing:flap_angle	data:mission:sizing:landing:flap_angle
mission:sizing:landing:friction_coefficient_brake	data:mission:sizing:landing:friction_coefficient_brake
mission:sizing:landing:fuel	data:mission:sizing:landing:fuel
mission:sizing:landing:length	data:mission:sizing:landing:length
mission:sizing:landing:slat_angle	data:mission:sizing:landing:slat_angle
mission:sizing:landing:thrust_rate	data:mission:sizing:landing:thrust_rate
mission:sizing:takeoff:altitude	data:mission:sizing:takeoff:altitude
mission:sizing:takeoff:delta_ISA	data:mission:sizing:takeoff:delta_ISA
mission:sizing:takeoff:duration	data:mission:sizing:takeoff:duration
mission:sizing:takeoff:flap_angle	data:mission:sizing:takeoff:flap_angle
mission:sizing:takeoff:friction_coefficient_no_brake	data:mission:sizing:takeoff:friction_coefficient_no_brake
mission:sizing:takeoff:fuel	data:mission:sizing:takeoff:fuel
